WISE3_id,ISO,DESCR,DATEYR,DATEMON,SOLDEP,HORNUM,FAO_90,PHA_90,FAO_74,PHA_74,WRB2006,USCL,USYR,LOCAL,LONDD,LATDD,LONLAT_ACC,LOCAT,KOPPEN,ALTIT,LFORM,POSIT,SLOPE,PARMAT,DRAIN,LANDUS,SOURCE_ID,PITREF,LAB_ID,COUNTRY
"ID0082","ID","1",1988,,125,4,"ACh",,"Af",,"AC","Typic Paleudult","1987",,1.1654167000000000e+02,-9.6667000000000003e-01,"M","25 km NW Bakilpapan, E Kalimantan","Af",285,"SH","MS","40","SC2","W",,"AS4/65","Annex 2 p. 25. profile 13","ID01","Indonesia"
"ID0083","ID","1",1988,,130,4,"ACh",,"Ao",,"AC","Typic Paleudult","1987",,1.1654167000000000e+02,-9.6667000000000003e-01,"M","25 km NW Balikpapan, E. Kalimantan","Af",285,"SH","UP","36","SC2","M",,"AS4/65","Annex 2, p 29. profile 15.","ID01","Indonesia"
"ID0084","ID","1",1988,,145,5,"ALf",,"Af",,"AL","Typic Paleudult","1987",,1.1672083000000001e+02,-6.9582999999999995e-01,"S","25 km NW Balikpapan, E kalimantan","Af",210,"SH","UP","42","SC3","M","FN1","AS4/65","Annex 2, p 45, profile 23.","ID01","Indonesia"
"ID0085","ID","1",1988,,140,5,"ALg",,"Ao",,"AL","Typic Hapludult","1987",,1.1657083000000000e+02,-8.6250000000000004e-01,"S","25 km NW of Balikpapan, E. Kalimantan.","Af",345,"SH","MS","25","SC3","M","FN","AS4/65","Annex 2, p 17, Profile 9.","ID01","Indonesia"
"ID0086","ID","1",1988,,150,4,"ALg",,"Ag",,"AL","Typic Paleudult","1987",,1.1671250000000001e+02,-7.0416999999999996e-01,"S","25 km NW Balikpapan, E Kalimantan","Af",115,"LV","IN","5","SC2","I","FN1","AS4/65","Annex 2, p 43, profile 22.","ID01","Indonesia"
"ID0087","ID","1",1988,,115,5,"ALg",,"Ag",,"AL","Typic Hapludult","1987",,1.1657083000000000e+02,-9.9582999999999999e-01,"S","25 km NW of Balikpapan, E Kalimantan.","Af",100,"SH","UP","18","SC3","P","FN","AS4/65","Annex 2 p 3. Profile 2.","ID01","Indonesia"
"ID0088","ID","1",1988,,145,5,"ALg",,"Ag",,"AL","Typic Paleudult","1987",,1.1655417000000000e+02,-9.0000000000000002e-01,"M","25 Km NW Balikpapan, E kalimantan","Af",260,"SH","MS","27","SC2","I",,"AS4/65","Annex 2, p31, Profile 16.","ID01","Indonesia"
"ID0089","ID","1",1988,,120,5,"ALh",,"Ao",,"AL","Typic Hapludult","1987",,1.1654167000000000e+02,-9.7499999999999998e-01,"S","25 km NW balikpapan, E Kalimantan.","Af",295,"SH","MS","55","SC2","M",,"AS4/65","Annex 2 p.19, Profile 10.","ID01","Indonesia"
"ID0090","ID","1",1988,,140,5,"ALh",,"Ao",,"AL","Typic Paleudult","1987",,1.1672083000000001e+02,-6.9582999999999995e-01,"S","25 km NW Balikpapan, E kalimantan","Af",210,"SH","MS","51","SC2","M","FN1","AS4/65","Annex 2, p47, Profile 24","ID01","Indonesia"
"ID0091","ID","1",1988,,150,4,"ALh",,"Af",,"AL","Typic Hapludult","1987",,1.1670833000000000e+02,-7.0833000000000002e-01,"S","25 km NW Balikpapan, E Kalimantan","Af",210,"SH","CR","1","SC3","M","FN1","AS4/65","Annex 2, p39, profile 20.","ID01","Indonesia"
"ID0092","ID","1",1988,,140,5,"ALh",,"Ao",,"AL","Typic Paleudult","1987",,1.1655417000000000e+02,-9.0000000000000002e-01,"M","25 km NW Balikpapan, E Kalimantan","Af",260,"SH","MS","25","SC2","W",,"AS4/65","Annex 2, p 33, profile 17","ID01","Indonesia"
"ID0093","ID","3",1988,,150,3,"ALh",,"Ao",,"AL","Typic Paleudult","1987",,1.1670833000000000e+02,-7.0833000000000002e-01,"S","25km NW Balikpapan, E. Kalimantan","Af",210,"SH","CR","6","SC2","W","FN1","AS4/65","Annex 2, p37, profile 19","ID01","Indonesia"
"ID0094","ID","1",1988,,150,5,"CMd",,"Bd",,"CM","Typic Dystrochrept","1987",,1.1654167000000000e+02,-9.7499999999999998e-01,"S","25 km NW Balikpapan, E Kalimantan","Af",300,"SH","CR","3","SC2","W",,"AS4/65","Annex 2 p.21 Profile 11.","ID01","Indonesia"
"ID0095","ID","1",1988,,120,3,"CMg",,"Bg",,"CM","Aquic Dystrochrept","1987",,1.1656250000000000e+02,-1.0166700000000000e+00,"M","25 km NW Balikpapan, E Kalimantan.","Af",130,"SH","LS","45","SC3","P","FN1","AS4/65","Annex 2, p 9, Profile 5.","ID01","Indonesia"
"ID0096","ID","1",1988,12,63,5,"PZg",,"Pp",,"PZ","Placaquod","1975","Podsol",1.0109999999999999e+02,-1.3213900000000001e+00,"S","Petani (Duri)","Af",,"LP","LS","2","UF","P","U","ISIS-1994","ISIS4 [ID039]","NL01","Indonesia"
"ID0097","ID","1",1989,2,107,4,"CMd",,"Bd",,"CM",,,,1.2828333000000001e+02,-3.6833300000000002e+00,"S","Kampung Kjung Batu, Desa Waai, Ambon Island, Moluc","Af",60,"LP","UP","4","SO1","W","AA","ISIS-1994","ISIS4 [ID046]","NL01","Indonesia"
"ID0098","ID","1",1989,2,132,5,"CMo",,"Bf",,"CM",,,,1.2819999999999999e+02,-3.6333299999999999e+00,"S","Kampung Oli Tengah, Desa Hitu, Ambon Island, Moluc","Af",190,"LP","MS","7","SC3","W","AT","ISIS-1994","ISIS4 [ID044]","NL01","Indonesia"
"ID0099","ID","1",1989,2,84,4,"CMo",,"Bf",,"CM",,,,1.2819999999999999e+02,-3.5000000000000000e+00,"S","Gunnung Nona, Kec. Siriman, Ambon Island","Af",360,"SM","MS","6","M","W","U","ISIS-1994","ISIS4 [ID045]","NL01","Indonesia"
"ID0100","ID","1",1989,2,150,5,"RGd",,"Rd",,"RG",,,,1.2800361000000001e+02,-3.5166700000000000e+00,"S","Matalai, 4 km ESE of Ambon City, Moluccas","Af",340,"SH","UP","12","IA","S","AA4","ISIS-1994","ISIS4 [ID043]","NL01","Indonesia"
"ID0101","ID","1",1992,1,155,6,"ACg",,"Ag",,"AC",,,,1.1695667000000000e+02,-9.9333000000000005e-01,"S","Wanariset,Sambodja,East Kalimantan,2km on road to","Af",16,"SH","MS","46","SC2","I","U","ISIS-1994","ISIS4 [ID048]","NL01","Indonesia"
"ID0102","ID","1",1992,1,145,6,"ACh",,"Ao",,"AC",,,,1.1695667000000000e+02,-9.9333000000000005e-01,"S","Wanariset,Sambodja,East Kalimantan, 2km on, and 80","Af",48,"SH","UP","22","SC2","W","U","ISIS-1994","ISIS4 [ID047]","NL01","Indonesia"
"IE0001","IE","1",,,100,6,"ALh",,"Ao",,"AL",,,"Grey-brown podzolic soil, Mortarstown Series",-6.9166699999999999e+00,5.2866669999999999e+01,"M",,"Cfb",70,,,,,"W",,"ISIS-2006","IE6_ISIS6","NL01","Ireland"
"IE0002","IE","3",,,44,3,"CMc",,"Bk","ST","CM",,,,-9.1500000000000004e+00,5.3116669999999999e+01,"M","Kinvarra, Co Clare","Cfb",30,"SH","MS","14","UG","W","HI1","TEAGASC","IE025_WISE","IE01","Ireland"
"IE0003","IE","3",,,100,6,"CMd",,"Bd",,"CM","Typic Dystrochrept","1975","Brown earth",-6.9500000000000002e+00,5.2166670000000003e+01,"M","Waterford","Cfb",65,"SH","MS","4","UG","W","HI1","TEAGASC","IE014_WISE","IE01","Ireland"
"IE0004","IE","3",,,75,3,"CMd",,"Bd",,"CM",,,"Brown earth of low base status",-6.7500000000000000e+00,5.2666670000000003e+01,"M","Milltown, Co Carlow","Cfb",133,"SH","MS","19","UG","W","HI1","TEAGASC","IE015_WISE","IE01","Ireland"
"IE0005","IE","3",,,90,5,"CMd",,"Bd",,"CM",,,"Acid brown earth",-6.6833299999999998e+00,5.2433329999999998e+01,"M","Co Carlow","Cfb",100,"LP","IN","0","UG","W","HI1","TEAGASC","IE012_WISE","IE01","Ireland"
"IE0006","IE","3",,,170,6,"CMe",,"Be",,"CM",,,"Brown earth",-8.3000000000000007e+00,5.1899999999999999e+01,"M","Co Cork","Cfb",100,"SH","MS","5","UG","W","HI1","TEAGASC","IE013_WISE","IE01","Ireland"
"IE0007","IE","3",,,40,5,"CMe",,"Be",,"CM",,,"Brown earth (high base status)",-6.6833299999999998e+00,5.2883330000000001e+01,"M","Broughilltown, Co Kildare","Cfb",133,"SH","MS","9","UF","W","HI1","TEAGASC","IE024_WISE","IE01","Ireland"
"IE0008","IE","3",,,155,6,"GLd",,"Gd",,"GL","Typic Haplaquent",,"Gley",-7.9166699999999999e+00,5.2350000000000001e+01,"M","Co Waterford, near Lismore","Cfb",200,"SH","MS","7","UG","P","HI1","TEAGASC","IE020_WISE","IE01","Ireland"
"IE0009","IE","3",,,85,5,"GLd",,"Gd",,"GL",,,"Gley",-7.1166700000000001e+00,5.2866669999999999e+01,"M","Fairymount, Grettyard, near Carlow","Cfb",215,"SH","MS","5","UC","P","AA3","TEAGASC","IE006_WISE","IE01","Ireland"
"IE0010","IE","3",,,120,6,"GLe",,"Ge",,"GL","Alfic Haplaquent","1975","Gley",-7.7666700000000004e+00,5.2016669999999998e+01,"M","Ahgoo East, Co.Antrim","Cfb",91,"SH","MS","10","UG","P","HE","TEAGASC","IE007_WISE","IE01","Ireland"
"IE0011","IE","3",,,91,5,"GLe",,"Ge",,"GL",,,"Stagno-eutric Glaysol",-9.1666699999999999e+00,5.2533329999999999e+01,"M","Co Limerick","Cfb",50,"SH","MS","9","UG","P","HI1","TEAGASC","IE008_WISE","IE01","Ireland"
"IE0012","IE","3",,,85,6,"GLe",,"Ge",,"GL",,,"Stagno-eutric gleysol",-7.2999999999999998e+00,5.4049999999999997e+01,"M","Co Cavan.","Cfb",50,"SH","MS","32","UG","P","HE","TEAGASC","IE009_WISE","IE01","Ireland"
"IE0013","IE","3",,,180,6,"GLe",,"Ge",,"GL","Typic Haplaquent","1975","Gley",-7.3333300000000001e+00,5.2149999999999999e+01,"M","Waterford","Cfb",45,"LP","MS","6","UG","P","HI1","TEAGASC","IE019_WISE","IE01","Ireland"
"IE0014","IE","3",,,75,5,"GLu",,"Gh",,"GL","Alfic Haplaquent",,"Stagno-eutric Gleysol",-8.2500000000000000e+00,5.4299999999999997e+01,"M","Kinvarra Glebe, Co Antrim","Cfb",177,"SH","MS","18","UG","P",,"TEAGASC","IE005_WISE","IE01","Ireland"
"IE0015","IE","1",,,100,4,"GLu",,"Gh",,"GL",,,"Gley, Abbeyfeale Series",-9.2166700000000006e+00,5.2383330000000001e+01,"M",,"Cfb",100,,,,,"V","HE","ISIS-2006","IE12_ISIS6","NL01","Ireland"
"IE0016","IE","3",,,120,6,"GLu",,"Gh",,"GL",,,"Peaty gley",-7.5000000000000000e+00,5.3100000000000001e+01,"M","Garragh Upper","Cfb",335,"SH","MS","7","UG","V","U","TEAGASC","IE004_WISE","IE01","Ireland"
"IE0017","IE","3",,,118,4,"HSf",,"Od",,"HS","Typic Sphagnofibrist","1975","peat",-7.2500000000000000e+00,5.3516669999999998e+01,"M","Clonawing, Co Westmeath","Cfb",99,"LP","BO","0","UO","V","U","TEAGASC","IE023_WISE","IE01","Ireland"
"IE0018","IE","3",,,52,3,"HSs",,"Oe",,"HS","Terric Histosol","1975","fen",-7.2500000000000000e+00,5.3516669999999998e+01,"M","Woodtown, Co Westmeath","Cfb",96,"LP","BO","0","UO","V","U","TEAGASC","IE026_WISE","IE01","Ireland"
"IE0019","IE","3",,,110,4,"HSs",,"Od",,"HS","Terric Medisaprist",,"blanket bog - montane type",-7.9166699999999999e+00,5.4133330000000001e+01,"M","Slievenkilla, Co. Antrim.","Cfb",280,"SM","MS","4","UO","V","HI1","TEAGASC","IE001_WISE","IE01","Ireland"
"IE0020","IE","3",,,120,3,"HSs",,"Od",,"HS","Medisaprist",,"Blanket Bog, low level Atlantic type",-9.6666699999999999e+00,5.4250000000000000e+01,"M","Glenamoy. Co Mayo","Cfb",20,"LP","IN",,"UO","V","U","TEAGASC","IE002_WISE","IE01","Ireland"
"IE0021","IE","3",,,107,5,"LVa",,"La",,"LV",,,,-6.8499999999999996e+00,5.3100000000000001e+01,"M","Co Kildare","Cfb",84,"SH","MS","1","UG","W","HI1","TEAGASC","IE028_WISE","IE01","Ireland"
"IE0022","IE","1",,,100,5,"LVa",,"La",,"LV",,,"Gray-brown podzolic soil, Kellistown Series",-6.9000000000000004e+00,5.2700000000000003e+01,"M",,"Cfb",100,,,,,"W","HI","ISIS-2006","IE7_ISIS6","NL01","Ireland"
"IE0023","IE","3",,,100,5,"LVh",,"Lo",,"LV",,,"Grey brown podzolic",-6.5999999999999996e+00,5.3583329999999997e+01,"M","Dunboyne, Co Meath","Cfb",32,"LP","IN","0","UG","W","HI1","TEAGASC","IE021_WISE","IE01","Ireland"
"IE0024","IE","3",,,60,4,"LVh",,"Lo",,"LV",,,"haplic luvisol",-7.9166699999999999e+00,5.2600000000000001e+01,"M","Co Tipperary","Cfb",50,"LP","IN","7","UG","W","HI1","TEAGASC","IE022_WISE","IE01","Ireland"
"IE0025","IE","3",,,85,6,"LVh",,"Lo",,"LV",,,,-6.9000000000000004e+00,5.2850000000000001e+01,"M","southeast of Athy, Co Kildare","Cfb",60,"SH","MS","4","UF","W","HI1","TEAGASC","IE027_WISE","IE01","Ireland"
"IE0026","IE","1",,,45,3,"PHh",,"Hh",,"PH",,,"Brown earth",-8.7333300000000005e+00,5.3066670000000002e+01,"M",,"Cfb",70,,,,,"W","HI","ISIS-2006","IE10_ISIS6","NL01","Ireland"
"IE0027","IE","3",,,60,4,"PZb",,"Pl",,"PZ","Haplorthod","1975","Brown podzolic",-8.5999999999999996e+00,5.3933329999999998e+01,"M","Co Leitrim","Cfb",104,"SH","MS","10","UG","I","HI1","TEAGASC","IE010_WISE","IE01","Ireland"
"IE0028","IE","3",,,100,5,"PZb",,"Pl",,"PZ",,,"Brown podzolic",-8.5999999999999996e+00,5.1766669999999998e+01,"M","Co Cork","Cfb",76,"SH","MS","14","UG","W","HI1","TEAGASC","IE011_WISE","IE01","Ireland"
"IE0029","IE","3",,,80,5,"PZb",,"Pl",,"PZ",,,"Leptic podzol",-8.1999999999999993e+00,5.2633330000000001e+01,"M","Co. Tipperary","Cfb",274,"LP","MS","9","UC","W","HI1","TEAGASC","IE016_WISE","IE01","Ireland"
"IE0030","IE","3",,,75,6,"PZg","PL","Pp",,"PZ",,,"Peaty ironpan podzol",-6.6666699999999999e+00,5.2700000000000003e+01,"M","Co Carlow","Cfb",300,"SH","MS","30","IA1","I","U","TEAGASC","IE003_WISE","IE01","Ireland"
"IE0031","IE","3",,,80,5,"PZh","PL","Pp",,"PZ",,,"podzol",-7.9500000000000002e+00,5.2399999999999999e+01,"M","Co Tipperary","Cfb",200,"LP","MS","5","UG","W","HE3","TEAGASC","IE018_WISE","IE01","Ireland"
"IE0032","IE","1",,,75,8,"PZh",,"Po",,"PZ","Ultic Haplorthod","1999","Podzolised gray-brown podzolic soil",-8.1833299999999998e+00,5.3416670000000003e+01,"M",,"Cfb",90,,,,,"S",,"ISIS-2006","IE2_ISIS6","NL01","Ireland"
"IE0033","IE","3",,,53,4,"PZh",,"Po",,"PZ",,,"podzol",-8.3666699999999992e+00,5.2299999999999997e+01,"M","Co.Tipperary","Cfb",200,"LP","MS","5","UC","W","HI1","TEAGASC","IE017_WISE","IE01","Ireland"
"IE0034","IE","1",,,145,7,"PZh",,"Po",,"PZ","Typic Haplorthod","1999","Brown Podzol, Screen Series",-6.4166699999999999e+00,5.2416670000000003e+01,"M",,"Cfb",75,,,,,"E","HI","ISIS-2006","IE1_ISIS6","NL01","Ireland"
"IE0035","IE","1",1967,,80,5,"LVg",,"Lg",,"LV",,,,-8.4666700000000006e+00,5.2533329999999999e+01,"M","Co. Limerick, 16 km SSW of Limerick, 3.2 km NNW He","Cfb",80,,,"0",,"I","HE","ISIS-2005","IE011_ISIS5","NL01","Ireland"
"IE0036","IE","1",1967,,87,5,"PZh",,"Pp",,"PZ",,,,-7.8113900000000003e+00,5.3908329999999999e+01,"S","Co. Mayo, W of Mallarany on Corraun Penisula, 5 km","Cfb",50,,,"4",,"M","HE","ISIS-2005","IE009_ISIS5","NL01","Ireland"
"IL0001","IL","3",1970,10,105,6,"SNk",,"So",,"SN","Natrargid","1975","Clay loamy loessial argillic serozem",3.4783329999999999e+01,3.0883330000000001e+01,"M","2km S of Sde Boqer","BWh",480,"LL","IN","1","UE","W","U","AS1/20","Profile 8/1 p235","IL01","Israel"
"IL0002","IL","3",1972,5,200,5,"LVv",,"Lv",,"LV","Vertic Palexeralf","1975","Cumulic aeolian grumic dark brown clay.",3.4683329999999998e+01,3.1666670000000000e+01,"M","Negba.","BSh",95,"SH","CR","2","UE","M","AA4","AS1/20","Profile 5/2.  pp171-174.","IL01","Israel"
"IL0003","IL","3",1976,9,150,6,"CMv",,"Bv",,"CM","Vertic Xerorthent","1975","Brown clayey regosol",3.4483330000000002e+01,3.1416670000000000e+01,"M","1km N of Be'eri","BSh",100,"LP","IN","50","UE","W",,"AS1/20","Profile 6/3 pp 199-200","IL01","Israel"
"IL0004","IL","3",1976,8,132,6,"LVk",,"Lk",,"LV","Calcic Mollic Haploxeralf","1975","Cumulic alluvial quartzic light brown loam",3.4483330000000002e+01,3.1416670000000000e+01,"M","1km N of Be'eri","BSh",80,"LP","LS","3","UF","W","HE3","AS1/20","Profile 6/7  pp 208-209","IL01","Israel"
"IL0005","IL","3",1976,8,165,6,"LVk","SA","Lk","Z","LV","Calcic mollic Haploxeralf.","1975","Loessial light brown loam.",3.4483330000000002e+01,3.1416670000000000e+01,"M","Be'eri badlands.","BSh",105,"LP","HI","1","UE","W","HE2","AS1/20","Profile 6/1. pp193-195.","IL01","Israel"
"IL0006","IL","3",1976,9,155,6,"RGc","SA","Rc","Z","RG","Vertic Torriorthent","1975","Brown clayey saline regosol",3.4483330000000002e+01,3.1416670000000000e+01,"M","1km N of Be'eri","BSh",95,"LP","IN","100","UE","W","U","AS1/20","Profile 6/4 pp201-202","IL01","Israel"
"IL0007","IL","3",1976,,185,6,"SNk",,"So",,"SN","Vertic Natrargid","1975","Natric grumic dark brown clay",3.4483330000000002e+01,3.1416670000000000e+01,"M","near Be'eri","BSh",90,"LP","IN","8","UE","M","U","AS1/20","Profile 6/2  pp 196-198","IL01","Israel"
"IL0008","IL","3",1978,11,123,5,"CLl","Sa","Xl","Z","CL","Typic Haplargid","1975","Strong serozem",3.5299999999999997e+01,3.1533329999999999e+01,"M","15km N of Hebron.","BSh",390,"SE","LS","10","UC","E","HE2","AS1/20","Profile 3/6. pp 87-89.","IL01","Israel"
"IL0009","IL","3",1978,10,60,4,"CLp","SA","Xy","Z","CL","Petrogypsic Gypsiorthid","1975","Petrogypsic calcareous sierozem.",3.5416670000000003e+01,3.1533329999999999e+01,"M","3km SW Mizpe Shalom (overlooking Dead Sea).","BSh",190,"SE","CR","5","SO1","E","HE2","AS1/20","Profile 3/8.  pp96-97","IL01","Israel"
"IL0010","IL","3",1978,10,15,1,"LPe",,"I",,"LP","Lithic Torriorthent.","1975","Brown lithosol.",3.5266669999999998e+01,3.1533329999999999e+01,"M","14km NE Hebron.","BSh",400,"SE","UP","5","SO1","E","HE2","AS1/20","Profile 3/5. pp.85-86.","IL01","Israel"
"IL0011","IL","3",1978,10,25,3,"RGc","SA","Rc","Z","RG","Lithic Torriorthent","1975","Rendzinic Desert Lithosol",3.5166670000000003e+01,3.1583330000000000e+01,"M","14 km NE Hebron.","BSh",550,"SE","MS","30","SO1","E","HE2","AS1/20","Profile 3/3. pp78-79.","IL01","Israel"
"IL0012","IL","3",1978,10,95,6,"SCn","YR","Zo",,"SC","Typic Haplargid","1975","Regosolic Reg.",3.5383330000000001e+01,3.1516670000000001e+01,"M","24km E of Hebron.","BSh",210,"LV","BO","0","UF","W","HE2","AS1/20","Profile 3/9.  pp99-101.","IL01","Israel"
"IL0013","IL","3",1978,11,180,6,"SCn",,"Zo",,"SC","Typic Haplargid (?)","1975","Loessial Sierozem",3.5333329999999997e+01,3.1533329999999999e+01,"M","16km E of Hebron.","BSh",370,"SH","BO","2","UE","W","HE2","AS1/20","Profile 3/7. pp 91-93.","IL01","Israel"
"IL0014","IL","3",1979,11,150,6,"LVk",,"Lk",,"LV","Calcic Haploxeralf","1975","Stony brown soil.",3.5200000000000003e+01,3.1550000000000001e+01,"M","14 km NE Hebron.","BSh",550,"SE","LS","8","UC","E","HE2","AS1/20","Profile 3/4. pp81-82.","IL01","Israel"
"IL0015","IL","3",1979,11,210,6,"SCg",,"Zg",,"SC","Typic Salorthid","1975","silty clay loam alluvial sterile gley solonchak",3.5383330000000001e+01,3.1000000000000000e+01,"M","10km S of Sedom","BWh",-380,"CD","BO","1","UF","P","U","AS1/20","Profile 13/4, pp340-341","IL01","Israel"
"IL0016","IL","3",1979,9,128,6,"SCn",,"Zo",,"SC","Typic Salorthid","1975","Loamy alluvial solonchak",3.5416670000000003e+01,3.1916670000000000e+01,"M","13 km N of Jerico.","BWh",-295,"LV","BO","1","UF","M","HE2","AS1/20","profile 4/3. pp129-132.","IL01","Israel"
"IL0017","IL","3",1979,9,140,6,"SCn",,"Zo",,"SC","Typic Salorthid","1975","Alluvial solonchak",3.5416670000000003e+01,3.1916670000000000e+01,"M","13 km N of Jerico.","BWh",-300,"SE","BO","0","UF","M","HE2","AS1/20","Profile 4/4. pp 133-136.","IL01","Israel"
"IL0018","IL","3",1979,9,116,6,"SCn",,"Zo",,"SC","Typic Torrifluvent","1975","Pale brown alluvial soil  (saline, sodic)",3.5416670000000003e+01,3.1916670000000000e+01,"M","13 km N of Jerico.","BWh",-272,"SE","LS","4","UF","W","HE2","AS1/20","Profile 4/1. pp121-124.","IL01","Israel"
"IL0019","IL","3",1979,9,113,6,"SCn",,"Zo",,"SC","Typic Torrifluvent","1975","aluvial soil (saline, sodic)",3.5416670000000003e+01,3.1916670000000000e+01,"M","13 km N of Jerico.","BWh",-290,"SE","LS","2","UF","E","HE2","AS1/20","Profile 4/2. pp125-127.","IL01","Israel"
"IL0020","IL","3",1979,9,127,6,"SCy",,"Zo",,"SC","Typic Salorthid","1975","Drained alluvial solonchak",3.5450000000000003e+01,3.1983329999999999e+01,"M","2 km E of Gilgal.","BWh",-280,"SE","BO","1","UL","I","HE2","AS1/20","Profile 4/5.  pp 137-141.","IL01","Israel"
"IL0021","IL","3",1979,11,79,6,"SCy",,"Zo",,"SC","Typic Salorthid","1975","Sandy loam alluvial solonchak",3.5383330000000001e+01,3.1000000000000000e+01,"M","10 km S of Sedom","BWh",-376,"CD","IN","2","UF","P","U","AS1/20","Profile 13/3   pp334-6","IL01","Israel"
"IL0022","IL","3",1979,11,61,6,"SCy",,"Zo",,"SC","TYpic Salorthid","1975","Sandy loam alluvial solonchak",3.5383330000000001e+01,3.1000000000000000e+01,"M","10km S of Sedom","BSh",-379,"CD","LO","1","UF","P","U","AS1/20","Profile 13/3 pp 337-339","IL01","Israel"
"IL0023","IL","3",1979,10,207,6,"VRk",,"Vc",,"VR","Typic Chromoxert","1975","Brown grumosol",3.4766669999999998e+01,3.1699999999999999e+01,"M","15 km SE AShdod; Qedma.","BSh",100,"SH","CR","2","UE","M","AA4","AS1/20","Profile 5/1. pp 165-168.","IL01","Israel"
"IL0024","IL","3",1981,3,250,5,"ARc","SO","Qc","SO","AR","Xeric Torripsamment","1975","Sandy regosol",3.4250000000000000e+01,3.1300000000000001e+01,"M","5km SSE of Yamit (now in Egypt)","BSh",60,"LP","LO","4","UE","S",,"AS1/20","Profile 7/1 pp 220-222","IL01","Israel"
"IL0025","IL","3",1981,,14,2,"LPe",,"I",,"LP","Lithic Torriorthent","1975","Brown lithosol",3.5166670000000003e+01,3.1583330000000000e+01,"M","14 km NE Hebron.","BSh",560,"SE","MS","15","SO1","E","HE2","AS1/20","Profile 3/2. pp 75-80.","IL01","Israel"
"IL0026","IL","3",1981,,20,2,"LPe","SA","Re","Z","LP","Lithic Torriorthent","1975","Salic brown lithosol",3.5366669999999999e+01,3.1516670000000001e+01,"M","Mizpe Hazazon.","BSh",190,"SE","CR","8","SO1","E","HE2","AS1/20","Profile 3/10. pp103-104.","IL01","Israel"
"IL0027","IL","3",1981,,12,2,"LPk",,"E",,"LP","Lithic Haploxeroll","1975","Clay loam brown rendzina.",3.5133330000000001e+01,3.1666670000000000e+01,"M","4km S of Tegoa ruins.","BSh",750,"SE","UP","8","SO1","E","HE2","AS1/20","Profile 3/1. pp72-72.","IL01","Israel"
"IL0028","IL","3",1981,4,126,6,"SCn",,"Zo",,"SC","Typic Torrifluvent","1975","Loamy desert alluvial soil",3.5049999999999997e+01,3.0050000000000001e+01,"M","55 km N of Elat, 8 km N of Qetura","BWh",400,"LV","BO","0","UF","M","U","AS1/20","Profile 11/2 pp271-273","IL01","Israel"
"IL0029","IL","3",1981,4,160,6,"SCy",,"Zo",,"SC","Typic Salorthid","1975","Gravelly sandy alluvial solonchak",3.5383330000000001e+01,3.1000000000000000e+01,"M","10 km S of Sedom","BWh",-379,"CD","IN","1","UF","W","U","AS1/20","Profile 13/1 pp331-333","IL01","Israel"
"IL0030","IL","3",1981,4,60,6,"SCy",,"Zt",,"SC","Cambic Gypsiorthid","1975","Clayey Takyr",3.4850000000000001e+01,2.9600000000000001e+01,"M","13 kim N of Elat","BWh",740,"LD","BO","0","UF","P","U","AS1/20","Profile 11/4  pp277-278","IL01","Israel"
"IL0031","IL","3",1981,,76,6,"SCy",,"Zo",,"SC","Typic Gypsiorthid","1975","Limey dolomitic regosolic reg",3.5049999999999997e+01,3.0050000000000001e+01,"M","2km N of Qetura Junction; 50 km N of Elat","BWh",255,"LV","BO","2","UF","M","U","AS1/20","Profile 11/3 pp274-276","IL01","Israel"
"IL0032","IL","3",1981,4,94,6,"SCy",,"Zo",,"SC","Petrogypsic Gypsiorthid","1975","Petrogypsic regosolic reg",3.5116669999999999e+01,3.0199999999999999e+01,"M","75 km N of Elat","BWh",340,"LP","HI","2","SO1","W","U","AS1/20","Profile 11/1 pp268-271","IL01","Israel"
"IL0033","IL","3",1986,8,250,6,"ARc",,"Qc",,"AR","Typic Quartzipsamment","1975","Sandy regosol",3.4483330000000002e+01,3.1416670000000000e+01,"M","1km N of Be'eri","BSh",80,"LP","LS","10","UE","S","U","AS1/20","Profile 6/6  pp 206-207","IL01","Israel"
"IN0001","IN","2",,,250,5,"ARa",,"Qa",,"AR",,,,,,"-",,,,,,,,"E",,"IN-94.02","IN~IND018","IN01","India"
"IN0002","IN","2",,,137,5,"ARc",,"Qc",,"AR",,,,,,"-",,,,,,,,"W",,"IN-94.02","IN~IND005","IN01","India"
"IN0003","IN","2",,,130,2,"ARc",,"Qc",,"AR",,,,,,"-",,,,,,,,"E",,"IN-94.02","IN~IND019","IN01","India"
"IN0004","IN","2",,,135,7,"CLh","SO","Yk","SO","CL",,,,,,"-",,,,,,,,"I",,"IN-94.02","IN~IND015","IN01","India"
"IN0005","IN","2",,,115,4,"CLh",,"Yk",,"CL",,,,,,"-",,,,,,,,"E",,"IN-94.02","IN~IND021","IN01","India"
"IN0006","IN","2",,,120,3,"CLp",,"Yk",,"CL",,,,,,"-",,,,,,,,"E",,"IN-94.02","IN~IND020","IN01","India"
"IN0007","IN","2",,,105,5,"CMc",,"Bk",,"CM",,,,,,"-",,,,,,,,"W",,"IN-94.02","IN~IND004","IN01","India"
"IN0008","IN","2",,,159,5,"CMc","SA","Bk","Z","CM",,,,,,"-",,,,,,,,"M",,"IN-94.02","IN~IND006","IN01","India"
"IN0009","IN","3",,,170,6,"CMc",,"Bk",,"CM",,,,,,"-",,,,,,,,"E",,"IN-94.02","IN~IND017","IN01","India"
